ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
1,1,1,1,3,0.022,5349,0.017,3378,729,3234.303,https://schoolbooks.ie,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0
1,1,1,2,2,0.022,892,0.026,854,89,-1.0,https://plasticbottleshop.eu,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0
0,1,1,3,0,0.014,2299,0.063,1979,422,-1.0,https://supersklep.sk,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0.007,3469,0.024,2243,421,2108.231,https://www.running-point.com,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0,0,1,3,0,0.0,755,0.048,508,124,390.125,https://www.dortex.se,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0.028,773,0.007,935,72,154.833,https://www.boboli.pt,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,1,0.093,2191,0.017,1235,387,1578.502,https://www.gerrybrownejewellers.ie,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
1,1,1,1,3,0.049,1309,0.014,806,82,698.31,https://matar-athletics.com,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,1,1,0,2,0.003,3369,0.02,1712,581,-1.0,https://www.xn--kostme-6ya.com,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,4,0.01,5851,0.009,2147,1000,1.667,https://71workx.com,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0
0,1,0,0,1,0.043,470,0.075,686,46,98.429,https://www.ducq.com,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
1,1,1,0,4,0.025,6069,0.019,3914,1181,4280.147,https://www.beautybuys.com,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
1,1,1,0,3,0.128,6764,0.019,2790,537,5705.484,https://outdoorliving.ie,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
1,1,1,0,2,0.012,10501,0.028,6850,2625,8665.083,https://www.carrollsirishgifts.com,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
1,1,1,0,5,0.148,823,0.027,985,135,439.125,https://www.againfaster.com,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,2,0.0,3925,0.009,2708,847,3551.889,https://www.shooos.cz,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
0,1,1,0,0,0.008,3404,0.026,3274,244,-1.0,https://www.elcorteingles.com,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,0,2,0.056,2751,0.02,2866,305,1335.625,https://www.castiron-clothing.com,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
0,1,0,0,0,0.0,2094,0.036,1978,303,-1.0,https://www.elegance-decor.ro,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,4,0.038,1864,0.028,1807,318,1177.914,https://www.lights.ie,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0
1,1,0,0,4,0.03,4510,0.021,3527,428,-1.0,https://www.blacksocks.com/en,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1,1,0,2,0.013,3068,0.047,2683,799,1707.412,https://www.arboretum.ie,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
1,1,0,0,1,0.0,1321,0.014,626,81,970.889,https://www.murmann-verlag.de,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,3,0.093,2613,0.03,2271,741,1331.16,https://www.jdsports.co.uk,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0
